14306,-0.26,-1.67,1.34,-195.50,84.36,-8.05,-67.20,24.14,153.42
14316,-0.36,-1.41,1.53,-190.52,134.61,-43.48,-70.51,23.63,149.30
14326,-0.39,-1.11,1.64,-163.95,174.99,-81.27,-72.69,22.50,145.05
14336,-0.42,-0.81,1.69,-135.30,202.76,-119.98,-74.33,20.76,141.00
14346,-0.45,-0.68,1.87,-135.84,213.65,-146.62,-76.77,18.96,137.71
14356,-0.47,-0.60,2.04,-153.69,198.56,-149.41,-79.52,17.68,135.95
14366,-0.49,-0.50,2.11,-169.35,145.90,-124.85,-81.59,17.32,136.60
14376,-0.53,-0.44,2.05,-165.73,91.55,-93.58,-82.63,17.47,137.97
14386,-0.57,-0.41,1.91,-145.30,45.97,-64.34,-82.76,17.85,139.48
14396,-0.61,-0.42,1.66,-113.34,12.63,-37.96,-82.13,18.42,140.85
14406,-0.65,-0.45,1.36,-84.91,-9.02,-12.82,-81.46,19.26,141.99
14416,-0.67,-0.50,1.04,-64.12,-16.54,10.40,-81.12,20.30,142.62
14426,-0.66,-0.56,0.79,-52.58,-15.38,28.74,-81.16,21.36,142.88
14436,-0.66,-0.61,0.60,-53.65,-7.27,42.45,-81.85,22.43,142.74
14446,-0.63,-0.66,0.47,-57.74,1.55,53.43,-82.76,23.52,142.45
14456,-0.56,-0.71,0.40,-59.82,10.26,60.13,-83.59,24.32,142.08
14466,-0.47,-0.77,0.37,-59.99,16.39,61.36,-84.31,24.94,141.73
14476,-0.36,-0.83,0.38,-55.68,15.79,52.84,-84.70,25.06,141.62
14486,-0.26,-0.88,0.40,-49.11,11.78,39.58,-84.86,24.84,141.68
14496,-0.20,-0.92,0.41,-41.13,6.73,23.78,-84.85,24.37,141.81
14506,-0.19,-0.96,0.41,-31.82,2.94,7.27,-84.70,23.71,141.91
14516,-0.20,-1.00,0.43,-22.87,-0.16,-6.32,-84.47,23.05,142.01
14526,-0.23,-1.05,0.46,-13.71,-3.49,-15.99,-84.12,22.46,142.17
14536,-0.28,-1.09,0.46,-6.26,-7.94,-21.52,-83.71,21.99,142.42
14546,-0.33,-1.12,0.45,-2.69,-15.48,-21.99,-83.34,21.70,142.91
14556,-0.38,-1.15,0.42,-1.29,-23.28,-20.06,-83.01,21.53,143.51
14566,-0.41,-1.17,0.38,-2.48,-30.01,-15.50,-82.79,21.56,144.15
14576,-0.43,-1.20,0.33,-4.70,-33.24,-10.48,-82.76,21.49,144.64
14586,-0.42,-1.24,0.29,-7.94,-30.56,-5.22,-82.92,21.51,144.86
14596,-0.42,-1.29,0.26,-12.52,-25.15,1.34,-83.23,21.67,144.93
14606,-0.40,-1.33,0.26,-18.89,-17.31,7.77,-83.69,21.92,144.83
14616,-0.36,-1.38,0.28,-24.00,-9.21,9.62,-84.18,22.02,144.62
14626,-0.32,-1.39,0.30,-28.27,-0.94,8.13,-84.71,21.99,144.29
14636,-0.31,-1.37,0.32,-31.97,7.05,0.73,-85.27,21.68,143.87
14646,-0.34,-1.33,0.33,-33.70,15.42,-7.21,-85.80,21.32,143.35
14656,-0.38,-1.26,0.36,-30.48,28.61,-13.77,-86.22,21.00,142.47
14666,-0.42,-1.19,0.39,-22.26,43.70,-18.39,-86.45,20.73,141.36
14676,-0.44,-1.13,0.42,-3.98,63.61,-21.95,-86.23,20.49,139.84
14686,-0.44,-1.10,0.44,18.24,83.42,-25.79,-85.69,20.20,138.10
14696,-0.39,-1.11,0.45,44.86,103.08,-32.59,-84.78,19.72,136.15
14706,-0.34,-1.13,0.46,67.82,117.37,-41.97,-83.75,19.05,134.24
14716,-0.31,-1.17,0.45,82.42,120.39,-53.50,-82.76,18.16,132.75
14726,-0.28,-1.20,0.43,88.38,114.64,-62.93,-81.91,17.21,131.67
14736,-0.28,-1.24,0.42,85.98,101.48,-68.62,-81.26,16.31,131.05
14746,-0.33,-1.27,0.39,72.69,79.26,-66.17,-80.99,15.80,131.08
14756,-0.38,-1.29,0.37,55.53,58.25,-58.04,-81.04,15.62,131.31
14766,-0.41,-1.30,0.34,35.40,43.47,-42.23,-81.40,15.90,131.51
14776,-0.42,-1.30,0.33,17.96,35.61,-26.03,-81.85,16.35,131.55
14786,-0.42,-1.30,0.35,6.23,36.02,-12.61,-82.26,16.82,131.24
14796,-0.39,-1.31,0.38,0.19,41.25,-3.86,-82.60,17.18,130.66
14806,-0.32,-1.32,0.44,3.52,50.22,-5.23,-82.64,17.13,129.77
14816,-0.24,-1.33,0.50,12.25,59.05,-13.91,-82.40,16.72,128.75
14826,-0.19,-1.32,0.55,28.00,66.75,-30.62,-81.75,15.84,127.62
14836,-0.15,-1.31,0.58,46.40,71.45,-49.77,-80.78,14.68,126.51
14846,-0.16,-1.30,0.60,66.78,73.62,-71.42,-79.49,13.24,125.41
14856,-0.18,-1.30,0.60,84.46,73.63,-90.18,-78.09,11.75,124.36
14866,-0.22,-1.30,0.59,99.66,71.97,-105.10,-76.60,10.31,123.36
14876,-0.28,-1.30,0.57,112.98,72.40,-113.74,-75.06,9.13,122.27
14886,-0.30,-1.28,0.53,122.77,75.28,-115.45,-73.58,8.29,121.10
14896,-0.27,-1.21,0.49,127.54,80.56,-111.82,-72.21,7.63,119.84
14906,-0.22,-1.13,0.46,129.86,84.16,-108.13,-70.91,7.00,118.61
14916,-0.19,-1.04,0.43,132.72,84.48,-105.83,-69.52,6.35,117.48
