t,ax,ay,az,gx,gy,gz
0.6829328536987305,8006,8497,11969,-7954,1053,2504
0.6948385238647461,8004,6788,12038,-8917,2677,79
0.7067692279815674,6622,5190,12437,-8778,4362,1119
0.7187602519989014,5575,4957,12150,-7534,4621,1803
0.7307050228118896,5366,4987,12289,-6083,3816,813
0.7427194118499756,4979,2904,12443,-2689,2600,-685
0.7546799182891846,3370,2128,12449,294,1604,2692
0.7666244506835938,2368,2094,12984,3517,-1343,4152
0.778552770614624,1658,2430,13166,6077,-5467,5839
0.7905373573303223,2768,1623,12151,8313,-10921,3046
0.8024749755859375,10313,1020,13036,14015,-15013,-1767
0.8143784999847412,11125,3764,13515,16291,-11189,963
0.8263204097747803,10892,5719,12914,17103,-7337,1070
0.8382422924041748,9854,6498,11180,17746,-3837,-1664
0.8502252101898193,7807,7228,9450,18001,-652,-1178
0.8621628284454346,5637,6730,9907,19520,151,-3285
0.8740625381469727,12269,7720,12459,22552,-1269,5818
0.8859977722167969,10370,1427,10642,21905,4175,-3726
0.8979289531707764,5466,2970,8994,24325,7522,3713
0.9098584651947021,2131,11738,7407,27794,5679,11503
0.921844482421875,-935,14866,5523,24567,-100,2787
0.9337916374206543,2364,13043,4607,16455,-17598,-3606
0.9457330703735352,4993,11281,2997,15657,-22737,-12545
0.957669734954834,7190,8989,2589,16935,-24333,-16770
0.9696071147918701,7290,11044,2321,18835,-23023,-8469
0.9815094470977783,6534,12652,1699,19559,-21977,-5789
0.9934430122375488,418,10372,328,20486,-20935,-6294
1.0053789615631104,-1358,10547,-876,22494,-26427,-1599
1.0173110961914062,829,13707,-2410,25460,-32768,3714
1.0293605327606201,4468,13931,-3917,27505,-32768,5813
1.0413637161254883,8352,15420,-3670,27868,-32656,15251
1.053309440612793,6711,20221,-6074,21707,-32768,12860
1.0652525424957275,9726,20240,-5768,16028,-32766,11988
1.077195405960083,12822,19665,-7056,11008,-32768,10637
1.0891385078430176,15356,20729,-7469,5336,-32768,10048
1.1010499000549316,15154,15265,-5202,-574,-31381,-7531
1.112990140914917,16210,12926,-7207,-359,-22660,2031
1.1249310970306396,5341,17372,-5102,9263,9142,-10920
1.136885404586792,-4004,12588,-4859,6778,465,-5039
1.1488170623779297,9515,9247,-4565,7748,-12958,-8640
1.1607413291931152,7509,10472,-5370,9577,-10280,456
1.1726961135864258,2313,11442,-5412,11254,-11228,9746
1.1846375465393066,5523,16476,-6545,11229,-21997,12719
1.1965837478637695,6062,18458,-7008,8476,-24249,12837
1.2085192203521729,8673,17676,-6419,3686,-27123,13139
1.220421314239502,12303,16480,-8642,-1172,-29202,9673
1.2324001789093018,16071,18010,-10240,-4741,-27374,3634
1.2443461418151855,20460,14304,-9403,-15588,-16990,1798
1.2562763690948486,21807,7722,-10638,-20904,-6328,-10183
1.2682180404663086,21083,2521,-8361,-9462,5882,985
1.2801079750061035,19500,5833,-9117,3154,17852,18065
1.2920787334442139,12679,18198,-11070,8618,29409,26310
1.3040385246276855,6289,26418,-11205,4663,32767,21009
1.315983533859253,9211,20735,-7974,-11037,23622,9710
1.3279063701629639,18390,16537,-7538,-14070,18819,12295
1.339876413345337,28798,18507,-6490,-13962,21863,20507
1.3518295288085938,27466,22102,-9560,-17246,32767,17523
1.3637676239013672,16847,20703,-13512,-24140,32767,2210
1.3757047653198242,305,6479,-11536,-28444,32753,-13627
1.3876419067382812,44,6232,-5669,-23623,32742,4106
1.3995466232299805,3943,12089,-3839,-17443,27511,14711
1.4114818572998047,12121,13473,-2115,-15734,18011,10588
1.4234111309051514,17027,10987,-783,-17033,19088,8429
1.4353508949279785,16119,15513,-132,-19399,30546,9538
1.44732666015625,15779,16383,1353,-22307,32767,8692
1.4592328071594238,16896,15452,-1847,-24403,32767,8059
1.4711666107177734,16471,14635,-1172,-26188,32720,9792
1.483100414276123,14820,13295,1524,-26961,32767,10302
1.4950602054595947,11943,11807,629,-27230,32767,10291
1.5069952011108398,3851,5253,4381,-30877,32767,6539
1.518911600112915,2723,2772,3662,-29457,32767,6067
1.530853033065796,4444,3278,6892,-26558,32767,10077
1.542795181274414,6720,6099,7659,-24018,32767,14789
1.554774284362793,5536,5501,6446,-25328,32767,14320
1.566702127456665,2975,529,10136,-23567,32767,8807
1.5785934925079346,2312,414,9530,-21853,32767,7199
1.590683937072754,2055,87,10033,-21434,32767,6517
1.6026313304901123,1618,-2255,10467,-22290,32767,3257
1.6145696640014648,52,-6134,7579,-19895,32767,-6238
1.6265032291412354,-1393,590,13587,-19472,32767,-4261
1.6384098529815674,-3231,-1931,10848,-20700,32752,-10173
1.650385856628418,-4333,-2391,8719,-20782,29530,-12699
1.6623444557189941,1790,-4674,12381,-19880,25439,-19161
1.674283742904663,2924,-4770,13084,-18576,31123,-16613
1.6862170696258545,-4598,-7188,13114,-18905,32767,-14763
1.6981174945831299,-3519,-9533,14907,-12030,26525,-4940
1.7100508213043213,-2246,-14113,11717,-7033,24013,-8901
1.7219812870025635,-863,-13602,9921,2049,26088,-4024
1.7339673042297363,-2448,-12406,10188,9437,30769,-646
1.7459568977355957,-8749,-9675,10750,15767,32767,2568
1.7578701972961426,-7795,-1353,11934,22021,21475,7289
1.7698519229888916,-4469,-1205,12152,22088,20952,4131
1.7817914485931396,-9391,-787,12023,21132,24669,1780
1.7937099933624268,-13818,-3510,11949,19901,22716,273
1.8056926727294922,-12416,-4855,11971,22604,17026,2265
1.8176002502441406,-6822,2003,9984,27482,12795,9960
1.8295395374298096,-8150,-763,10062,26260,14195,8393
1.8414771556854248,-9007,-4037,9029,28366,13899,9767
1.8534200191497803,-10764,-1310,8503,32489,12674,12889
1.8653559684753418,-13874,2366,8617,32767,9345,14507
1.8773269653320312,-9571,67,5864,32718,-978,15296
1.8892624378204346,-8923,3623,5265,32767,-2034,21169
1.9011945724487305,-9389,6879,6477,32758,-3600,30028
1.9131269454956055,-10173,10065,4886,32765,-6654,32767
1.9250602722167969,-8789,11479,5196,32767,-10297,32767
